human,humanLabel,parliamentary_term,parliamentary_termLabel,sex_or_gender,sex_or_genderLabel,date_of_birth,funkcja,funkcjaLabel,partia_polityczna,partia_politycznaLabel
http://www.wikidata.org/entity/Q2572657,Wilhelm Fischer,,,http://www.wikidata.org/entity/Q6581097,male,1904-03-26T00:00:00Z,http://www.wikidata.org/entity/Q17586301,Member of the Landtag of Bavaria,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2572833,Wilhelm Goldhagen,,,http://www.wikidata.org/entity/Q6581097,male,1901-03-09T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2572980,Wilhelm Hahn,,,http://www.wikidata.org/entity/Q6581097,male,1909-05-14T00:00:00Z,http://www.wikidata.org/entity/Q27169,member of the European Parliament,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2572980,Wilhelm Hahn,,,http://www.wikidata.org/entity/Q6581097,male,1909-05-14T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2572980,Wilhelm Hahn,,,http://www.wikidata.org/entity/Q6581097,male,1909-05-14T00:00:00Z,http://www.wikidata.org/entity/Q17481175,Member of the Landtag of Baden-Württemberg,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2573474,Wilhelm Josef Sebastian,,,http://www.wikidata.org/entity/Q6581097,male,1944-03-21T00:00:00Z,http://www.wikidata.org/entity/Q30185,mayor,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2573474,Wilhelm Josef Sebastian,,,http://www.wikidata.org/entity/Q6581097,male,1944-03-21T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2573474,Wilhelm Josef Sebastian,,,http://www.wikidata.org/entity/Q6581097,male,1944-03-21T00:00:00Z,http://www.wikidata.org/entity/Q18618563,Member of Landtag of Rhineland-Palatinate,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2573501,Wilhelm Jung,,,http://www.wikidata.org/entity/Q6581097,male,1928-03-26T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2573501,Wilhelm Jung,,,http://www.wikidata.org/entity/Q6581097,male,1928-03-26T00:00:00Z,http://www.wikidata.org/entity/Q17481175,Member of the Landtag of Baden-Württemberg,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2573689,Willy Knothe,,,http://www.wikidata.org/entity/Q6581097,male,1888-05-01T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2573689,Willy Knothe,,,http://www.wikidata.org/entity/Q6581097,male,1888-05-01T00:00:00Z,http://www.wikidata.org/entity/Q17519166,Member of the Hessian Parliament,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2573839,Wilhelm Königswarter,,,http://www.wikidata.org/entity/Q6581097,male,1890-08-30T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2573839,Wilhelm Königswarter,,,http://www.wikidata.org/entity/Q6581097,male,1890-08-30T00:00:00Z,http://www.wikidata.org/entity/Q28969136,member of the Berlin City Council,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2573839,Wilhelm Königswarter,,,http://www.wikidata.org/entity/Q6581097,male,1890-08-30T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q328195,German Democratic Party
http://www.wikidata.org/entity/Q2573839,Wilhelm Königswarter,,,http://www.wikidata.org/entity/Q6581097,male,1890-08-30T00:00:00Z,http://www.wikidata.org/entity/Q28969136,member of the Berlin City Council,http://www.wikidata.org/entity/Q328195,German Democratic Party
